model_name,params
svm-word2vec,"{'SVC__C': 10.0, 'SVC__decision_function_shape': 'ovo', 'SVC__kernel': 'rbf'}"
svm-glove,"{'SVC__C': 10.0, 'SVC__decision_function_shape': 'ovo', 'SVC__kernel': 'rbf'}"
svm-fasttext,"{'SVC__C': 10.0, 'SVC__decision_function_shape': 'ovo', 'SVC__kernel': 'rbf'}"
svm-custom,"{'SVC__C': 10.0, 'SVC__decision_function_shape': 'ovo', 'SVC__kernel': 'rbf'}"
xgb-word2vec,"{'XGB__eta': 0.5, 'XGB__gamma': 0.0, 'XGB__max_depth': 6}"
xgb-glove,"{'XGB__eta': 0.5, 'XGB__gamma': 0.0, 'XGB__max_depth': 6}"
xgb-fasttext,"{'XGB__eta': 0.5, 'XGB__gamma': 0.0, 'XGB__max_depth': 6}"
xgb-custom,"{'XGB__eta': 0.5, 'XGB__gamma': 0.0, 'XGB__max_depth': 6}"
bilstm-word2vec,"{'max_len': 300, 'max_words': 7500, 'EPOCHS': 100, 'BATCH': 32}"
bilstm-fasttext,"{'max_len': 300, 'max_words': 7500, 'EPOCHS': 100, 'BATCH': 32}"
bilstm-custom,"{'max_len': 300, 'max_words': 7500, 'EPOCHS': 100, 'BATCH': 32}"
distilbert-base-uncased-,"{'max_length': 150, 'epochs': 100, 'batch': 16}"
bert-base-uncased-,"{'max_length': 100, 'epochs': 50, 'batch': 16}"
roberta-base-,"{'max_length': 100, 'epochs': 50, 'batch': 16}"
bilstm-glove,"{'max_len': 300, 'max_words': 7500, 'EPOCHS': 100, 'BATCH': 32}"
